revisionDate,cancelDate,commitDate,dateArchived,createDate,revisionId,policyId,policyStatus,writtenPremium,revisionState,effectiveDate
6/16/18 0:00,,6/18/18 0:00,,6/13/18 15:34,007f318f-01c7-4a2e-9e56-031a40c64b9e,8829fda7-dff1-4110-bbbc-f411a285fc0e,Active,17431.0,committed,2018-06-16
3/9/18 0:00,,3/7/18 0:00,3/30/18 8:10,1/17/18 14:23,03284611-286b-4190-adbc-153e5e9386db,8a219f1b-3145-41b5-8900-e4e6c5ec45a3,Active,7652.0,archived,2018-03-09
7/1/18 0:00,,7/5/18 0:00,,7/5/18 18:41,036e943b-f55a-4b0f-9b90-8079d3ebe477,fd159ac4-751a-4bc5-a20e-5a981b027426,Active,6785.0,committed,2018-07-01
3/9/18 0:00,3/9/18 0:00,4/24/18 0:00,5/3/18 10:41,4/24/18 12:48,0493e44e-f050-44af-b7ea-3c89494c9045,8a219f1b-3145-41b5-8900-e4e6c5ec45a3,Canceled,0.0,archived,2018-03-09
6/11/18 0:00,,6/25/18 0:00,,6/25/18 17:06,0c05e859-ef44-4b83-b27f-3ad19e112972,8691a4fe-cebb-4767-b14f-29e75b95fd24,Active,1668.64,committed,2018-05-29
3/6/18 0:00,,3/8/18 0:00,,3/8/18 20:38,1ac5e0fa-1fb9-4f8b-a55d-e4f54bc530dd,19c1bd18-9a10-4f29-9370-843dd19f2eb3,Active,1554.0,committed,2018-03-06
7/23/18 0:00,,7/17/18 0:00,,7/17/18 14:40,1c0d30b7-5a0c-4bc8-a369-a86ba51c62e5,def9f0af-7020-43df-9a4f-51d0a4c41f59,Active,7500.87,committed,2018-03-21
3/9/18 0:00,,3/30/18 0:00,4/24/18 7:48,3/30/18 13:06,31bb1b20-9c7e-427c-91b5-69b49f7ee0a2,8a219f1b-3145-41b5-8900-e4e6c5ec45a3,Active,5398.0,archived,2018-03-09
3/31/18 0:00,,4/16/18 0:00,5/10/18 8:20,4/11/18 12:50,362b4cee-d3f6-479a-b129-25f1f6a7ef68,acfbc7d9-10a9-416c-b64e-1317a953a6ad,Active,1405.95,archived,2018-01-19
3/28/18 0:00,,6/18/18 0:00,,6/14/18 13:29,37e9c084-51a9-43f6-a116-4f6b7acb478c,a6f2c2b7-c3e2-4082-9009-286022413dd5,Active,42121.0,committed,2018-03-28
6/6/18 0:00,,5/18/18 0:00,,5/3/18 20:55,3ac49fb8-3636-442e-92c1-cfe7e6b9b751,38519a4c-19c0-4ac2-b25a-d643367ace13,Active,8626.0,committed,2018-06-06
6/29/18 0:00,,6/26/18 0:00,,5/15/18 14:34,3c142050-2f2a-4d5b-a0f6-7520b8dd4b4d,ef103cbf-9ae8-4db9-bfdc-abcbab8d0c8b,Active,14481.0,committed,2018-06-29
4/13/18 0:00,,4/13/18 0:00,,4/12/18 20:24,48570ae2-2f7e-4bae-8dd0-7a62821acb92,73aac61f-4d64-4bec-b9d7-25bffbaab24c,Active,1313.0,committed,2018-04-13
5/3/18 0:00,,5/7/18 0:00,,5/7/18 19:50,5670aa5a-ced2-4c11-9ccf-5b5a8e745d50,def9f0af-7020-43df-9a4f-51d0a4c41f59,Active,7500.87,committed,2018-03-21
4/2/18 0:00,,4/2/18 0:00,6/18/18 14:42,4/2/18 17:54,59cfd92e-a788-4fd0-b0de-933c3b5d12b0,a6f2c2b7-c3e2-4082-9009-286022413dd5,Active,42121.0,archived,2018-03-28
5/27/18 0:00,,5/21/18 0:00,,4/23/18 15:12,5e4a5378-3ef1-4652-b8ae-896ab9f69960,49339ad5-9eef-4677-9cd5-c4215663089e,Active,1211.0,committed,2018-05-27
6/1/18 0:00,,6/26/18 0:00,,6/6/18 18:35,61d6d04c-a70e-4d14-8576-87e4f3117c02,73aac61f-4d64-4bec-b9d7-25bffbaab24c,Active,2393.46,committed,2018-04-13
7/14/18 0:00,,7/17/18 0:00,7/18/18 14:58,7/9/18 18:04,659f0e19-cfc1-436e-9081-8dee673b6fb7,ac6490cc-f911-4ec7-86bd-cbd5dbe766fa,Active,10108.0,archived,2018-07-14
7/8/18 0:00,,7/6/18 0:00,,7/2/18 14:30,691ba208-718e-4767-88ce-11afdec86080,0b28f9a7-63d0-410a-95bb-70b3c214dc22,Active,12037.0,committed,2018-07-08
3/8/18 0:00,3/8/18 0:00,3/22/18 0:00,3/23/18 16:28,3/22/18 16:58,696b87c8-833a-4319-a777-8e9912b62df0,d87c0938-516b-4b04-b332-d2aa742d7cac,Canceled,0.0,archived,2018-03-08
4/5/18 0:00,,4/5/18 0:00,,3/1/18 20:27,6ad25244-eb1e-42c3-a37a-1e7055258905,cca4a273-c6d4-4736-8936-8e224659ac1b,Active,6624.0,committed,2018-04-05
6/27/18 0:00,,6/26/18 0:00,,5/21/18 20:03,6b9b9fdf-a1f7-4d53-8eaa-e0f7f8e78323,0f7905d6-16fb-41b6-87b2-bd0f4211090b,Active,20583.0,committed,2018-06-27
7/14/18 0:00,,7/18/18 0:00,,7/18/18 19:56,6cc9f364-614d-4da0-9487-a5f18e7c3b99,ac6490cc-f911-4ec7-86bd-cbd5dbe766fa,Active,10533.0,committed,2018-07-14
6/8/18 0:00,,5/22/18 0:00,,5/22/18 15:10,6f5e69b7-01a1-40f0-afc4-264bddb763e9,d2537769-48f2-445f-8d1a-b4467d2dbb75,Active,9698.0,committed,2018-06-08
4/1/18 0:00,4/1/18 0:00,3/28/18 0:00,,3/28/18 14:37,7556de38-af2b-4d04-9358-45a097104fa8,54082546-881f-4aac-9152-1f738fb96d6c,Canceled,0.0,committed,2018-04-01
1/19/18 0:00,1/19/18 0:00,5/10/18 0:00,,5/10/18 13:20,77e1bdfc-dbf2-43d0-bdb7-f43130a4f936,acfbc7d9-10a9-416c-b64e-1317a953a6ad,Canceled,0.0,committed,2018-01-19
5/9/18 0:00,5/9/18 0:00,5/9/18 0:00,,5/9/18 17:40,8e408fea-8704-4411-8292-d8716cb06dbd,0208d8a5-20af-45a1-8a2b-5aac5e456c54,Canceled,0.0,committed,2018-05-09
3/13/18 0:00,,3/19/18 0:00,,3/19/18 22:41,8f97e09c-5d3a-48fa-b912-427f17bb9c31,197fb983-02a9-49c7-8068-0dbf3ea6c63b,Active,16743.0,committed,2018-03-13
2/27/18 0:00,,2/22/18 0:00,,1/29/18 15:23,93ac8464-1e4d-4645-bbb9-d2e4c85e4b65,b288133f-0798-4b66-a583-de78e72cdb02,Active,4246.0,committed,2018-02-27
7/1/18 0:00,,6/29/18 0:00,7/5/18 13:39,5/30/18 15:51,98253aa0-ebc7-4e41-b964-669af181c93b,fd159ac4-751a-4bc5-a20e-5a981b027426,Active,6785.0,archived,2018-07-01
3/10/18 0:00,,3/9/18 0:00,,1/30/18 14:20,a48eab3f-2aec-4b2c-9d47-ee72186ce372,f9dbdff2-fa5d-4fc6-814f-0c8184db21f7,Active,23486.0,committed,2018-03-10
3/28/18 0:00,,4/5/18 0:00,5/31/18 18:11,4/5/18 16:43,a48f33d8-02d8-40c6-9d8a-371190471040,d87c0938-516b-4b04-b332-d2aa742d7cac,Active,20941.17,archived,2018-03-08
3/21/18 0:00,,3/22/18 0:00,,3/22/18 12:31,a5f43dbe-fb91-4dc7-bf09-4e0db91029d1,def9f0af-7020-43df-9a4f-51d0a4c41f59,Active,3280.0,committed,2018-03-21
6/1/18 0:00,,5/23/18 0:00,,5/17/18 19:10,aa7f3aa7-79f4-4cbd-958b-f77c86831416,d4302cd2-86f4-4422-bff6-8f9c170bc925,Active,9398.0,committed,2018-06-01
3/8/18 0:00,,3/23/18 0:00,5/31/18 18:11,3/23/18 21:28,ae3c3b12-d382-47d7-8455-5b1a06a90ecc,d87c0938-516b-4b04-b332-d2aa742d7cac,Active,18719.0,archived,2018-03-08
3/8/18 0:00,3/8/18 0:00,5/31/18 0:00,,5/31/18 23:11,b1cab5aa-3837-4557-a590-6afa24228028,d87c0938-516b-4b04-b332-d2aa742d7cac,Canceled,0.0,committed,2018-03-08
4/2/18 0:00,,6/18/18 0:00,,6/18/18 19:42,b3743376-3f13-4f8d-9904-a1997f91574b,a6f2c2b7-c3e2-4082-9009-286022413dd5,Active,42121.0,committed,2018-03-28
3/8/18 0:00,,3/8/18 0:00,3/22/18 11:58,3/7/18 15:18,bb94c615-be42-496d-b7ad-9fac6d6104be,d87c0938-516b-4b04-b332-d2aa742d7cac,Active,19037.0,archived,2018-03-08
5/9/18 0:00,,5/8/18 0:00,5/9/18 12:40,5/7/18 18:43,c064f60d-bcb6-4f2b-b69c-78b735027089,0208d8a5-20af-45a1-8a2b-5aac5e456c54,Active,18310.0,archived,2018-05-09
3/11/18 0:00,,3/13/18 0:00,,3/10/18 20:20,cf20beba-ef53-4247-94ec-9da3427198f8,c2fe86f7-b972-46c7-986d-7338547aecd3,Active,2780.0,committed,2018-03-11
5/1/18 0:00,,5/2/18 0:00,,5/2/18 14:23,cf24015a-e251-4802-a02d-53a20a8f8d3c,def9f0af-7020-43df-9a4f-51d0a4c41f59,Active,7500.87,committed,2018-03-21
2/28/18 0:00,,2/27/18 0:00,,1/17/18 16:28,d2f40cad-701b-429c-ba23-08023adcdcd0,7326a9f7-4eed-402b-b2ec-d355c1103312,Active,56690.0,committed,2018-02-28
3/28/18 0:00,,3/29/18 0:00,6/18/18 14:42,3/29/18 15:48,dacd309b-8714-4a3b-82de-78bb5cddf808,a6f2c2b7-c3e2-4082-9009-286022413dd5,Active,42121.0,archived,2018-03-28
6/25/18 0:00,,6/26/18 0:00,,6/20/18 18:55,dec79488-861d-4ddb-b2d4-8dd39d5890a8,f55bfeb3-9dcf-4a33-88fc-883c330eeb3f,Active,19225.0,committed,2018-06-25
3/9/18 0:00,,5/3/18 0:00,,5/3/18 15:41,e75f7534-350a-4cd0-ac66-a1dcc397da2f,8a219f1b-3145-41b5-8900-e4e6c5ec45a3,Active,5488.0,committed,2018-03-09
5/10/18 0:00,,5/10/18 0:00,5/31/18 18:11,5/10/18 13:54,e9428592-c7e6-4da1-aaea-df17302cdda9,d87c0938-516b-4b04-b332-d2aa742d7cac,Active,21435.13,archived,2018-03-08
5/29/18 0:00,,5/30/18 0:00,,5/9/18 13:52,eea0972e-9015-4f3d-ad35-a0583bf552f8,8691a4fe-cebb-4767-b14f-29e75b95fd24,Active,1713.0,committed,2018-05-29
6/8/18 0:00,,5/10/18 0:00,5/22/18 10:14,3/21/18 20:29,fd745ccd-e73e-42f6-8d70-fcb2fdd05acf,d2537769-48f2-445f-8d1a-b4467d2dbb75,Active,11827.0,archived,2018-06-08
1/19/18 0:00,,1/19/18 0:00,5/10/18 8:20,1/19/18 20:02,fdc15674-8f0e-4508-8c19-33fa1c902f34,acfbc7d9-10a9-416c-b64e-1317a953a6ad,Active,648.0,archived,2018-01-19
